X,         Y      ,Time,Street,        Offense,Date     ,Tract,Lat,Long
1348656.471,399538.5342,32874,100 BONIFAY ST,ROBBERY,1/1/90,160600,40.40865518,-79.9760891
1359951.481,410726.1273,32874,320 SCHENLEY RD,ROBBERY,1/1/90,140100,40.44013011,-79.93653583
1351340.433,410399.55,32875,183 BURROWS ST,AGGRAVATED ASSAULT,1/2/90,51000,40.43864462,-79.96743325
1351174.047,410440.8089,32875,220 BURROWS ST,ROBBERY,1/2/90,40200,40.43874637,-79.96803454
1348102.398,412548.4207,32875,2017 CENTRE AV,ROBBERY,1/2/90,50100,40.44431764,-79.97925733
1348176.524,412807.903,32875,2100 WYLIE AV,RAPE,1/2/90,50100,40.44503482,-79.97901462
